customer_id,age,employment_type,state,city,credit_score,income
1,36,Salaried,Tamil Nadu,Madurai,697,937099
2,38,Salaried,Tamil Nadu,Coimbatore,626,208875
3,34,Salaried,Karnataka,Bengaluru,650,1237775
4,29,Salaried,Telangana,Warangal,650,558971
5,32,Salaried,Uttar Pradesh,Noida,630,242524
6,28,Salaried,Uttar Pradesh,Noida,676,1769058
7,36,Salaried,Uttar Pradesh,Kanpur,720,576806
8,47,Salaried,Maharashtra,Mumbai,634,263662
9,32,Self-Employed,Telangana,Nizamabad,596,240691
10,31,Salaried,West Bengal,Howrah,743,258454
11,40,Salaried,Gujarat,Surat,588,1256431
12,39,Salaried,Delhi,Rohini,686,531188
13,37,Salaried,Delhi,New Delhi,567,929909
14,29,Self-Employed,Gujarat,Ahmedabad,732,304510
15,36,Salaried,Delhi,New Delhi,694,240057
16,42,Self-Employed,Uttar Pradesh,Kanpur,627,550511
17,25,Salaried,Maharashtra,Mumbai,670,805387
18,32,Salaried,Karnataka,Bengaluru,620,472608
19,21,Salaried,Telangana,Hyderabad,627,568815
20,26,Self-Employed,Telangana,Hyderabad,622,1330933
21,21,Salaried,Delhi,Rohini,574,771427
22,34,Self-Employed,Gujarat,Ahmedabad,774,1053204
23,26,Salaried,Karnataka,Bengaluru,698,820130
24,38,Self-Employed,Uttar Pradesh,Noida,685,797620
25,37,Salaried,Karnataka,Mangaluru,777,827202
26,35,Self-Employed,Gujarat,Vadodara,576,383410
27,21,Salaried,Tamil Nadu,Madurai,600,664067
28,32,Self-Employed,West Bengal,Siliguri,589,316071
29,36,Salaried,Gujarat,Vadodara,585,825142
30,37,Self-Employed,Tamil Nadu,Coimbatore,644,546623
31,24,Self-Employed,Karnataka,Bengaluru,670,931413
32,32,Salaried,Maharashtra,Pune,760,370506
33,28,Self-Employed,Delhi,Rohini,660,282691
34,30,Salaried,West Bengal,Howrah,583,796418
35,44,Salaried,Tamil Nadu,Chennai,617,265704
36,30,Self-Employed,West Bengal,Howrah,768,300152
37,36,Salaried,Maharashtra,Mumbai,700,476004
38,43,Self-Employed,West Bengal,Howrah,635,727314
39,31,Salaried,Telangana,Hyderabad,628,383545
40,35,Self-Employed,Gujarat,Ahmedabad,728,480232
41,37,Salaried,West Bengal,Howrah,761,449021
42,37,Salaried,Delhi,Dwarka,617,266932
43,26,Self-Employed,Gujarat,Surat,677,291387
44,37,Salaried,Delhi,New Delhi,785,445348
45,47,Salaried,Gujarat,Vadodara,651,316406
46,24,Self-Employed,Telangana,Hyderabad,677,250691
47,43,Salaried,Uttar Pradesh,Lucknow,596,448413
48,37,Salaried,Maharashtra,Pune,700,719154
49,31,Salaried,Telangana,Hyderabad,683,440236
50,52,Salaried,Uttar Pradesh,Noida,617,778604
51,42,Self-Employed,Uttar Pradesh,Kanpur,648,296228
52,26,Salaried,Telangana,Warangal,612,584970
53,37,Self-Employed,Maharashtra,Mumbai,576,1286790
54,41,Salaried,Maharashtra,Pune,558,740120
55,34,Salaried,Delhi,Rohini,632,262902
56,41,Salaried,Tamil Nadu,Madurai,680,459536
57,35,Salaried,Karnataka,Bengaluru,703,1048244
58,41,Self-Employed,Uttar Pradesh,Noida,633,219051
59,48,Self-Employed,Karnataka,Bengaluru,790,200582
60,31,Salaried,Delhi,Rohini,611,741306
61,38,Salaried,Uttar Pradesh,Lucknow,717,225056
62,32,Salaried,Delhi,New Delhi,689,232873
63,37,Self-Employed,Karnataka,Mangaluru,562,449965
64,27,Self-Employed,Karnataka,Mysuru,672,521508
65,31,Salaried,Telangana,Nizamabad,639,263018
66,34,Self-Employed,Telangana,Warangal,615,965177
67,43,Self-Employed,Tamil Nadu,Coimbatore,799,204388
68,45,Salaried,West Bengal,Siliguri,707,1077465
69,25,Self-Employed,Tamil Nadu,Chennai,678,953420
70,30,Salaried,Delhi,Dwarka,660,262506
71,41,Self-Employed,Uttar Pradesh,Lucknow,565,381544
72,21,Salaried,Tamil Nadu,Coimbatore,590,421559
73,32,Self-Employed,Maharashtra,Pune,676,733064
74,35,Salaried,Delhi,New Delhi,652,882352
75,46,Salaried,Tamil Nadu,Madurai,728,697689
76,42,Salaried,Delhi,Rohini,689,418809
77,33,Self-Employed,Maharashtra,Mumbai,623,512904
78,33,Salaried,Maharashtra,Pune,702,523752
79,34,Self-Employed,Delhi,New Delhi,677,747713
80,48,Salaried,Gujarat,Ahmedabad,598,631539
81,33,Salaried,Maharashtra,Pune,605,1306575
82,34,Self-Employed,Karnataka,Mysuru,599,260783
83,39,Self-Employed,Karnataka,Bengaluru,564,226200
84,35,Salaried,Uttar Pradesh,Kanpur,577,718689
85,34,Salaried,Uttar Pradesh,Kanpur,787,785280
86,27,Salaried,Karnataka,Mangaluru,676,465205
87,36,Salaried,West Bengal,Howrah,609,265338
88,32,Salaried,Telangana,Warangal,783,212957
89,45,Salaried,Karnataka,Bengaluru,659,419189
90,41,Salaried,West Bengal,Siliguri,580,947315
91,36,Salaried,Telangana,Hyderabad,703,326848
92,41,Self-Employed,Uttar Pradesh,Kanpur,600,207923
93,33,Self-Employed,Delhi,New Delhi,613,979790
94,44,Self-Employed,Uttar Pradesh,Kanpur,585,388839
95,36,Salaried,Telangana,Warangal,664,1425874
96,41,Salaried,Maharashtra,Pune,602,200870
97,26,Salaried,Gujarat,Surat,777,197073
98,39,Salaried,Uttar Pradesh,Lucknow,622,793836
