loan_id,customer_id,loan_amount,interest_rate,age,income,employment_type,credit_score,max_dpd,is_default
1,1,120536,12.87,36,937099,Salaried,697,67,0
2,2,54844,15.52,38,208875,Salaried,626,93,1
3,3,309322,12.49,34,1237775,Salaried,650,60,0
4,4,216264,12.84,29,558971,Salaried,650,52,0
5,5,118052,15.1,32,242524,Salaried,630,26,0
6,6,244411,13.87,28,1769058,Salaried,676,43,0
7,7,75604,11.62,36,576806,Salaried,720,4,0
8,8,109582,14.59,47,263662,Salaried,634,8,0
9,8,73387,15.14,47,263662,Salaried,634,60,0
10,9,69320,17.76,32,240691,Self-Employed,596,60,0
11,9,117841,16.41,32,240691,Self-Employed,596,126,1
12,10,71772,11.41,31,258454,Salaried,743,141,1
13,10,98776,10.23,31,258454,Salaried,743,128,1
14,11,181166,17.06,40,1256431,Salaried,588,120,1
15,12,228255,13.45,39,531188,Salaried,686,75,0
16,13,123428,16.4,37,929909,Salaried,567,64,0
17,14,60665,10.44,29,304510,Self-Employed,732,77,0
18,14,55986,11.89,29,304510,Self-Employed,732,60,0
19,15,59491,12.46,36,240057,Salaried,694,60,0
20,16,113225,15.56,42,550511,Self-Employed,627,60,0
21,17,237752,13.73,25,805387,Salaried,670,60,0
22,17,103277,12.11,25,805387,Salaried,670,9,0
23,18,184839,14.03,32,472608,Salaried,620,102,1
24,19,160060,15.6,21,568815,Salaried,627,42,0
25,19,236889,14.39,21,568815,Salaried,627,60,0
26,20,172884,15.65,26,1330933,Self-Employed,622,77,0
27,20,374634,14.19,26,1330933,Self-Employed,622,75,0
28,21,163370,17.18,21,771427,Salaried,574,73,0
29,21,150746,17.73,21,771427,Salaried,574,13,0
30,22,216824,10.15,34,1053204,Self-Employed,774,65,0
31,23,203612,13.06,26,820130,Salaried,698,13,0
32,24,158730,13.12,38,797620,Self-Employed,685,110,1
33,25,178164,11.97,37,827202,Salaried,777,9,0
34,26,229826,17.58,35,383410,Self-Employed,576,34,0
35,27,207106,14.01,21,664067,Salaried,600,7,0
36,28,86623,16.16,32,316071,Self-Employed,589,60,0
37,29,273053,17.89,36,825142,Salaried,585,60,0
38,30,126988,15.43,37,546623,Self-Employed,644,44,0
39,31,276237,12.56,24,931413,Self-Employed,670,39,0
40,32,88508,10.69,32,370506,Salaried,760,6,0
41,33,71487,13.45,28,282691,Self-Employed,660,66,0
42,34,298221,16.65,30,796418,Salaried,583,59,0
43,35,115485,15.54,44,265704,Salaried,617,62,0
44,35,52196,15.83,44,265704,Salaried,617,51,0
45,36,90711,11.83,30,300152,Self-Employed,768,44,0
46,36,80687,10.58,30,300152,Self-Employed,768,44,0
47,37,67271,10.16,36,476004,Salaried,700,3,0
48,38,100800,15.45,43,727314,Self-Employed,635,77,0
49,39,75606,14.1,31,383545,Salaried,628,60,0
50,40,101949,10.13,35,480232,Self-Employed,728,62,0
51,41,50693,10.61,37,449021,Salaried,761,19,0
52,42,85054,14.71,37,266932,Salaried,617,60,0
53,42,63754,14.1,37,266932,Salaried,617,60,0
54,43,75397,12.38,26,291387,Self-Employed,677,68,0
55,44,88669,10.44,37,445348,Salaried,785,68,0
56,45,87609,12.71,47,316406,Salaried,651,70,0
57,46,95574,12.23,24,250691,Self-Employed,677,60,0
58,47,230273,16.48,43,448413,Salaried,596,143,1
59,48,63546,10.09,37,719154,Salaried,700,31,0
60,48,235381,11.31,37,719154,Salaried,700,62,0
61,49,124730,13.12,31,440236,Salaried,683,60,0
62,50,253679,14.38,52,778604,Salaried,617,72,0
63,51,136409,15.63,42,296228,Self-Employed,648,58,0
64,52,59987,15.93,26,584970,Salaried,612,35,0
65,53,440329,17.48,37,1286790,Self-Employed,576,72,0
66,54,166562,16.09,41,740120,Salaried,558,60,0
67,55,54350,15.46,34,262902,Salaried,632,51,0
68,56,59367,13.25,41,459536,Salaried,680,9,0
69,57,107190,10.42,35,1048244,Salaried,703,33,0
70,58,136951,14.2,41,219051,Self-Employed,633,114,1
71,59,60115,10.0,48,200582,Self-Employed,790,159,1
72,60,239683,15.41,31,741306,Salaried,611,60,0
73,61,56315,11.8,38,225056,Salaried,717,8,0
74,62,57037,13.53,32,232873,Salaried,689,60,0
75,63,190511,17.24,37,449965,Self-Employed,562,35,0
76,64,55511,13.92,27,521508,Self-Employed,672,121,1
77,64,208283,12.82,27,521508,Self-Employed,672,70,0
78,65,52159,14.55,31,263018,Salaried,639,44,0
79,66,142284,15.67,34,965177,Self-Employed,615,60,0
80,66,289469,15.29,34,965177,Self-Employed,615,129,1
81,67,76276,10.32,43,204388,Self-Employed,799,79,0
82,68,148691,11.97,45,1077465,Salaried,707,37,0
83,68,197949,11.42,45,1077465,Salaried,707,66,0
84,69,84827,12.18,25,953420,Self-Employed,678,64,0
85,70,83870,12.94,30,262506,Salaried,660,61,0
86,71,90566,17.45,41,381544,Self-Employed,565,77,0
