loan_id,customer_id,loan_amount,tenure_months,interest_rate,disbursed_date
1,1,120536,36,12.87,2022-09-29
2,2,54844,24,15.52,2022-02-15
3,3,309322,24,12.49,2024-07-01
4,4,216264,36,12.84,2024-06-20
5,5,118052,48,15.1,2024-03-27
6,6,244411,48,13.87,2022-07-02
7,7,75604,12,11.62,2023-04-27
8,8,109582,24,14.59,2024-03-08
9,8,73387,12,15.14,2023-09-10
10,9,69320,12,17.76,2025-06-18
11,9,117841,36,16.41,2022-08-03
12,10,71772,24,11.41,2025-03-10
13,10,98776,24,10.23,2024-07-23
14,11,181166,36,17.06,2022-05-31
15,12,228255,24,13.45,2023-05-11
16,13,123428,48,16.4,2024-03-12
17,14,60665,36,10.44,2024-04-25
18,14,55986,24,11.89,2023-09-14
19,15,59491,12,12.46,2022-09-03
20,16,113225,36,15.56,2024-04-28
21,17,237752,12,13.73,2025-03-03
22,17,103277,36,12.11,2024-10-05
23,18,184839,36,14.03,2022-06-06
24,19,160060,48,15.6,2025-01-07
25,19,236889,36,14.39,2025-01-19
26,20,172884,36,15.65,2025-03-22
27,20,374634,36,14.19,2022-07-11
28,21,163370,48,17.18,2024-03-06
29,21,150746,12,17.73,2023-06-24
30,22,216824,24,10.15,2024-07-03
31,23,203612,48,13.06,2022-11-26
32,24,158730,12,13.12,2022-05-26
33,25,178164,36,11.97,2025-06-18
34,26,229826,48,17.58,2024-05-14
35,27,207106,24,14.01,2024-06-22
36,28,86623,36,16.16,2023-11-03
37,29,273053,24,17.89,2024-02-29
38,30,126988,24,15.43,2022-11-07
39,31,276237,12,12.56,2023-04-16
40,32,88508,36,10.69,2023-03-08
41,33,71487,36,13.45,2023-04-29
42,34,298221,36,16.65,2024-12-26
43,35,115485,24,15.54,2023-05-07
44,35,52196,12,15.83,2022-06-28
45,36,90711,24,11.83,2023-04-14
46,36,80687,12,10.58,2023-02-15
47,37,67271,12,10.16,2022-04-29
48,38,100800,48,15.45,2024-04-03
49,39,75606,12,14.1,2022-07-10
50,40,101949,48,10.13,2023-10-18
51,41,50693,12,10.61,2022-10-20
52,42,85054,36,14.71,2024-07-03
53,42,63754,24,14.1,2022-09-06
54,43,75397,48,12.38,2022-12-09
55,44,88669,12,10.44,2023-10-24
56,45,87609,12,12.71,2022-12-10
